Nuvarande Namn,Nytt Namn,Syfte
0_Load_Bronze_Data.py, 00_load_bronze_layer.py, Hämtar rådata
1_Extract_Operative_Data.py, 01_extract_silver_layer.py, Tvättar & transformerar
1.5_Run_Customer_Segmentation.py, 02_segment_customers.py, K-Means (Feature Eng.)
2_Train_Operative_Model.py, 03_train_model.py, Tränar LightGBM
3_Run_Operative_Forecast.py,04_generate_forecast.py,Skapar prognos
4_evaluate_forcast.py,05_evaluate_forecast.py,"Rättar stavfel (""forecast"")"
C_Sync_Raw_Cases.py,06_sync_agent_cases.py,Agent-data (Analys)
DataDriven_utils.py,utils.py eller project_utils.py,Hjälpfunktioner
config.py,config.py,(Behålls standard)
_TEST_config.py,config_test.py,Test-konfiguration
_TEST_PIPELINE.bat,run_pipeline_test.bat,Kör testet
Run_daily_Forcast.bat,run_pipeline_prod.bat,Daglig körning
